Open time,open_price,close_price,volume,Close time
2022-05-23,30293.93000000,29109.15000000,63901.49932000,2022-05-23 23:59:59.999
2022-05-24,29109.14000000,29654.58000000,59442.96036000,2022-05-24 23:59:59.999
2022-05-25,29654.58000000,29542.15000000,59537.38659000,2022-05-25 23:59:59.999
2022-05-26,29542.14000000,29201.35000000,94581.65463000,2022-05-26 23:59:59.999
2022-05-27,29201.35000000,28629.80000000,90998.52010000,2022-05-27 23:59:59.999
2022-05-28,28629.81000000,29031.33000000,34479.35127000,2022-05-28 23:59:59.999
2022-05-29,29031.33000000,29468.10000000,27567.34764000,2022-05-29 23:59:59.999
2022-05-30,29468.10000000,31734.22000000,96785.94760000,2022-05-30 23:59:59.999
2022-05-31,31734.23000000,31801.04000000,62433.11632000,2022-05-31 23:59:59.999
2022-06-01,31801.05000000,29805.83000000,103395.63382000,2022-06-01 23:59:59.999
2022-06-02,29805.84000000,30452.62000000,56961.42928000,2022-06-02 23:59:59.999
2022-06-03,30452.63000000,29700.21000000,54067.44727000,2022-06-03 23:59:59.999
2022-06-04,29700.21000000,29864.04000000,25617.90113000,2022-06-04 23:59:59.999
2022-06-05,29864.03000000,29919.21000000,23139.92810000,2022-06-05 23:59:59.999
2022-06-06,29919.20000000,31373.10000000,68836.92456000,2022-06-06 23:59:59.999
2022-06-07,31373.10000000,31125.33000000,110674.51658000,2022-06-07 23:59:59.999
2022-06-08,31125.32000000,30204.77000000,68542.61276000,2022-06-08 23:59:59.999
2022-06-09,30204.77000000,30109.93000000,46291.18650000,2022-06-09 23:59:59.999
2022-06-10,30109.93000000,29091.88000000,76204.24980000,2022-06-10 23:59:59.999
2022-06-11,29091.87000000,28424.70000000,65901.39895000,2022-06-11 23:59:59.999
2022-06-12,28424.71000000,26574.53000000,92474.59880900,2022-06-12 23:59:59.999
2022-06-13,26574.53000000,22487.41000000,254611.03496600,2022-06-13 23:59:59.999
2022-06-14,22485.27000000,22136.41000000,187201.64671000,2022-06-14 23:59:59.999
2022-06-15,22136.42000000,22583.72000000,200774.49346700,2022-06-15 23:59:59.999
2022-06-16,22583.72000000,20401.31000000,99673.59429000,2022-06-16 23:59:59.999
2022-06-17,20400.60000000,20468.81000000,86694.33663000,2022-06-17 23:59:59.999
2022-06-18,20468.81000000,18970.79000000,196441.65552400,2022-06-18 23:59:59.999
2022-06-19,18970.79000000,20574.00000000,128320.87595000,2022-06-19 23:59:59.999
2022-06-20,20574.00000000,20573.89000000,109028.94154000,2022-06-20 23:59:59.999
2022-06-21,20573.90000000,20723.52000000,104371.07490000,2022-06-21 23:59:59.999
2022-06-22,20723.51000000,19987.99000000,92133.97938000,2022-06-22 23:59:59.999
2022-06-23,19988.00000000,21110.13000000,83127.08716000,2022-06-23 23:59:59.999
2022-06-24,21110.12000000,21237.69000000,77430.36622000,2022-06-24 23:59:59.999
2022-06-25,21237.68000000,21491.19000000,51431.67794000,2022-06-25 23:59:59.999
2022-06-26,21491.18000000,21038.07000000,53278.10464000,2022-06-26 23:59:59.999
2022-06-27,21038.08000000,20742.56000000,64475.00130000,2022-06-27 23:59:59.999
2022-06-28,20742.57000000,20281.29000000,63801.08320000,2022-06-28 23:59:59.999
2022-06-29,20281.28000000,20123.01000000,77309.04379000,2022-06-29 23:59:59.999
2022-06-30,20123.00000000,19942.21000000,93846.64806000,2022-06-30 23:59:59.999
2022-07-01,19942.21000000,19279.80000000,111844.59494000,2022-07-01 23:59:59.999
2022-07-02,19279.80000000,19252.81000000,46180.30210000,2022-07-02 23:59:59.999
2022-07-03,19252.82000000,19315.83000000,51087.46631000,2022-07-03 23:59:59.999
2022-07-04,19315.83000000,20236.71000000,74814.04601000,2022-07-04 23:59:59.999
2022-07-05,20236.71000000,20175.83000000,96041.13756000,2022-07-05 23:59:59.999
2022-07-06,20175.84000000,20564.51000000,82439.58080000,2022-07-06 23:59:59.999
2022-07-07,20564.51000000,21624.98000000,85014.58261000,2022-07-07 23:59:59.999
2022-07-08,21624.99000000,21594.75000000,403081.57349000,2022-07-08 23:59:59.999
2022-07-09,21594.75000000,21591.83000000,178417.84468000,2022-07-09 23:59:59.999
2022-07-10,21592.15000000,20862.47000000,192188.21556000,2022-07-10 23:59:59.999
2022-07-11,20861.11000000,19963.61000000,137535.40724000,2022-07-11 23:59:59.999
2022-07-12,19963.61000000,19328.75000000,139506.45862000,2022-07-12 23:59:59.999
2022-07-13,19331.28000000,20234.87000000,209250.24888000,2022-07-13 23:59:59.999
2022-07-14,20234.87000000,20588.84000000,174809.21696000,2022-07-14 23:59:59.999
2022-07-15,20588.84000000,20830.04000000,143343.30490000,2022-07-15 23:59:59.999
2022-07-16,20830.04000000,21195.60000000,121011.67393000,2022-07-16 23:59:59.999
2022-07-17,21195.60000000,20798.16000000,118229.45250000,2022-07-17 23:59:59.999
2022-07-18,20799.58000000,22432.58000000,239942.73132000,2022-07-18 23:59:59.999
2022-07-19,22432.58000000,23396.62000000,263770.76574000,2022-07-19 23:59:59.999
2022-07-20,23398.48000000,23223.30000000,238762.17094000,2022-07-20 23:59:59.999
2022-07-21,23223.30000000,23152.19000000,184817.68191000,2022-07-21 23:59:59.999
2022-07-22,23152.19000000,22684.83000000,171598.43966000,2022-07-22 23:59:59.999
2022-07-23,22684.83000000,22451.07000000,122137.77375000,2022-07-23 23:59:59.999
2022-07-24,22448.58000000,22579.68000000,115189.67277000,2022-07-24 23:59:59.999
2022-07-25,22577.13000000,21310.90000000,180344.76643000,2022-07-25 23:59:59.999
2022-07-26,21310.90000000,21254.67000000,177817.24326000,2022-07-26 23:59:59.999
2022-07-27,21254.67000000,22952.45000000,210971.19796000,2022-07-27 23:59:59.999
2022-07-28,22954.31000000,23842.93000000,236029.07410000,2022-07-28 23:59:59.999
2022-07-29,23845.25000000,23773.75000000,198298.50623000,2022-07-29 23:59:59.999
2022-07-30,23777.28000000,23643.51000000,151060.13211000,2022-07-30 23:59:59.999
2022-07-31,23644.64000000,23293.32000000,127743.32483000,2022-07-31 23:59:59.999
2022-08-01,23296.36000000,23268.01000000,144210.16219000,2022-08-01 23:59:59.999
2022-08-02,23266.90000000,22987.79000000,158073.28225000,2022-08-02 23:59:59.999
2022-08-03,22985.93000000,22818.37000000,145948.80995000,2022-08-03 23:59:59.999
2022-08-04,22816.91000000,22622.98000000,154854.67016000,2022-08-04 23:59:59.999
2022-08-05,22622.41000000,23312.42000000,175251.69749000,2022-08-05 23:59:59.999
2022-08-06,23313.56000000,22954.21000000,83911.80307000,2022-08-06 23:59:59.999
2022-08-07,22954.21000000,23174.39000000,88890.00877000,2022-08-07 23:59:59.999
2022-08-08,23174.39000000,23810.00000000,170958.44152000,2022-08-08 23:59:59.999
2022-08-09,23810.98000000,23149.95000000,143182.50858000,2022-08-09 23:59:59.999
2022-08-10,23151.32000000,23954.05000000,208916.54953000,2022-08-10 23:59:59.999
2022-08-11,23954.05000000,23934.39000000,249759.79557000,2022-08-11 23:59:59.999
2022-08-12,23933.09000000,24403.68000000,174207.57040000,2022-08-12 23:59:59.999
2022-08-13,24401.70000000,24441.38000000,152852.25435000,2022-08-13 23:59:59.999
2022-08-14,24443.06000000,24305.24000000,151206.14473000,2022-08-14 23:59:59.999
2022-08-15,24305.25000000,24094.82000000,242539.54758000,2022-08-15 23:59:59.999
2022-08-16,24093.04000000,23854.74000000,179324.94821000,2022-08-16 23:59:59.999
2022-08-17,23856.15000000,23342.66000000,210668.68766000,2022-08-17 23:59:59.999
2022-08-18,23342.66000000,23191.20000000,144185.97011000,2022-08-18 23:59:59.999
2022-08-19,23191.45000000,20834.39000000,283995.87747000,2022-08-19 23:59:59.999
2022-08-20,20834.39000000,21140.07000000,183041.68363000,2022-08-20 23:59:59.999
2022-08-21,21140.07000000,21515.61000000,159200.68410000,2022-08-21 23:59:59.999
2022-08-22,21516.70000000,21399.83000000,222222.04526000,2022-08-22 23:59:59.999
2022-08-23,21400.75000000,21529.12000000,200967.77164000,2022-08-23 23:59:59.999
2022-08-24,21529.11000000,21368.08000000,174383.22046000,2022-08-24 23:59:59.999
2022-08-25,21368.05000000,21559.04000000,169915.78301000,2022-08-25 23:59:59.999
2022-08-26,21559.04000000,20241.05000000,273811.61955000,2022-08-26 23:59:59.999
2022-08-27,20239.14000000,20037.60000000,162582.46032000,2022-08-27 23:59:59.999
2022-08-28,20037.60000000,19555.61000000,139307.95976000,2022-08-28 23:59:59.999
2022-08-29,19555.61000000,20285.73000000,210509.49545000,2022-08-29 23:59:59.999
2022-08-30,20287.20000000,19811.66000000,256634.35529000,2022-08-30 23:59:59.999
2022-08-31,19813.03000000,20050.02000000,276946.60765000,2022-08-31 23:59:59.999
2022-09-01,20048.44000000,20131.46000000,245289.97263000,2022-09-01 23:59:59.999
2022-09-02,20132.64000000,19951.86000000,245986.60330000,2022-09-02 23:59:59.999
2022-09-03,19950.98000000,19831.90000000,146639.03204000,2022-09-03 23:59:59.999
2022-09-04,19832.45000000,20000.30000000,145588.77893000,2022-09-04 23:59:59.999
2022-09-05,20000.30000000,19796.84000000,222543.01057000,2022-09-05 23:59:59.999
2022-09-06,19795.34000000,18790.61000000,356315.05718000,2022-09-06 23:59:59.999
